hour,pv,demand_elec_res,demand_heat_res,demand_elec_inst,demand_heat_inst,demand_elec,demand_heat
t01,93299.76,1600000,6222222.22,4536750,2257277.78,6136750,8479500
t02,202915.06,1600000,6222222.22,4536750,2257277.78,6136750,8479500
t03,381564.87,1600000,6222222.22,4536750,2257277.78,6136750,8479500
t04,482813.33,1280000,3111111.11,5875725,844034.72,7155725,3955145.83
t05,550591.4,1280000,3111111.11,5875725,844034.72,7155725,3955145.83
t06,544733.4,1280000,3111111.11,5875725,844034.72,7155725,3955145.83
t07,553938.54,1600000,6222222.22,4540425,2257277.78,6140425,8479500
t08,517539.15,1600000,6222222.22,4540425,2257277.78,6140425,8479500
t09,412525.41,1600000,6222222.22,4540425,2257277.78,6140425,8479500
t10,281571.84,1920000,9333333.33,3190425,3601965.28,5110425,12935298.61
t11,125096.58,1920000,9333333.33,3190425,3601965.28,5110425,12935298.61
t12,37235.67,1920000,9333333.33,3190425,3601965.28,5110425,12935298.61
