hour,pv,demand_elec_res,demand_heat_res,demand_elec_inst,demand_heat_inst,demand_elec,demand_heat,,,,,
t1,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,6026.909722,,3316.446759
t2,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t3,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,12%,,
t4,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t5,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t6,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t7,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t8,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t9,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t10,0.092,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t11,0.246,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t12,0.348,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t13,0.364,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t14,0.304,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t15,0.156,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t16,0.009,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t17,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t18,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t19,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t20,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t21,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t22,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t23,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t24,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t25,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t26,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t27,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t28,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t29,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t30,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t31,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t32,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t33,0,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t34,0.111,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t35,0.289,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t36,0.385,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t37,0.388,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t38,0.304,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
t39,0.153,1431.283602,860.2150538,1680.219534,3763.44086,2291.498656,5443.660394,,,,,
