hour,pv,demand_elec_inst,demand_elec_res,demand_heat_inst,demand_heat_res,demand_elec,demand_heat
t01,0.0383,1064875,640000,1250083.333,2800000,1704875,4050083.333
t02,0.0166,1064875,640000,1250083.333,2800000,1704875,4050083.333
t03,0.0464,1515475,533333.3333,722166.6667,1866666.667,2048808.333,2588833.333
t04,0.0728,1515475,533333.3333,722166.6667,1866666.667,2048808.333,2588833.333
t05,0.1132,1515475,533333.3333,722166.6667,1866666.667,2048808.333,2588833.333
t06,0.1881,1961175,426666.6667,194250,933333.3333,2387841.667,1127583.333
t07,0.1926,1961175,426666.6667,194250,933333.3333,2387841.667,1127583.333
t08,0.2005,1961175,426666.6667,194250,933333.3333,2387841.667,1127583.333
t09,0.2007,1515475,533333.3333,722166.6667,1866666.667,2048808.333,2588833.333
t10,0.1792,1515475,533333.3333,722166.6667,1866666.667,2048808.333,2588833.333
t11,0.141,1515475,533333.3333,722166.6667,1866666.667,2048808.333,2588833.333
t12,0.1003,1064875,640000,1250083.333,2800000,1704875,4050083.333
