hour,pv,chp_hospital,chp_shopping,chp1_2cells,chp2_2cells,chp_4cells,heatpumps,gas_boiler,battery
1,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
2,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
3,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
4,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
5,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
6,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
7,0.0,0.0,2291.498656,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
9,0.0,0.0,2291.498656,0.0,0.0,0.0,0.0,0.0,0.0
10,1770.7300213640874,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
11,4734.778100603973,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
12,6697.978776464157,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
13,7005.931823657911,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
14,5851.107896681332,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
15,3002.542210139105,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
16,173.2235890464868,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,649.1218987769403
17,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
18,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
19,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
20,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
21,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
22,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
23,0.0,0.0,2291.498656,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
25,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
26,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
27,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
28,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
29,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
30,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
31,0.0,0.0,2291.498656,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
33,0.0,0.0,1770.0922649557388,0.0,0.0,0.0,0.0,0.0,521.4063910442615
34,2136.424264906671,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
35,5562.401914937188,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
36,7410.120198099714,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
37,7467.861394448543,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
38,5851.107896681332,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
39,2944.801013790276,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
40,192.47065449609647,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,629.8748333273306
41,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
42,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
43,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
44,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
45,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
46,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
47,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
48,0.0,0.0,2291.498656,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
50,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
51,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
52,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
53,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
54,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
55,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
56,0.0,0.0,2291.498656,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,1750.84519950613,0.0,0.0,0.0,0.0,0.0,540.6534564938702
58,2117.1771994570613,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
59,5312.190064092263,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
60,6890.449430960253,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
61,6736.472907363376,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
62,5235.201802293825,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
63,2463.6243775500348,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,0.0
64,134.72945814726754,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,687.6160296761595
65,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
66,0.0,0.0,1469.1531681765732,0.0,0.0,0.0,0.0,0.0,822.345487823427
67,0.0,0.0,2291.498656,0.0,0.0,0.0,0.0,0.0,0.0
