hour,pv,chp_hospital,chp_shopping,chp1_2cells,chp2_2cells,chp_4cells,gas_boiler,heatpumps,battery
1,0.0,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,392.28998171428634
2,0.0,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,392.28998171428634
3,0.0,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,392.28998171428634
4,0.0,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,392.28998171428634
5,0.0,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,392.28998171428634
6,0.0,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,392.28998171428634
7,0.0,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,392.28998171428634
8,0.0,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,392.28998171428634
9,0.0,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,392.28998171428634
10,1770.7300213640874,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,0.0
11,4734.778100603973,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,0.0
12,6697.978776464157,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,0.0
13,7005.931823657911,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,0.0
14,5851.107896681332,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,0.0
15,3002.542210139105,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,0.0
16,173.2235890464868,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,219.06639266779953
17,0.0,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,392.28998171428634
18,0.0,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,392.28998171428634
19,0.0,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,392.28998171428634
20,0.0,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,392.28998171428634
21,0.0,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,392.28998171428634
22,0.0,0.0,1899.2086742857139,0.0,0.0,0.0,0.0,0.0,392.28998171428634
