hour,pv,chp_hospital,chp_shopping,chp1_2cells,chp2_2cells,chp_4cells,heatpumps,battery
1,1004.539294,0.0,1282.9181043577264,0.0,0.0,0.0,0.0,1376.5640034713153
2,435.387788,0.0,1282.9181043577266,0.0,0.0,0.0,0.0,1945.7155094713153
3,1216.9875519999998,0.0,1282.9181043577269,0.0,0.0,0.0,0.0,1063.339489306932
4,1909.4115040000001,0.0,1282.9181043577266,0.0,0.0,0.0,0.0,370.9155373069316
5,2969.029976,0.0,708.9989921135033,0.0,0.0,0.0,0.0,0.0
6,4933.5206579999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5051.547468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5258.7500900000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5263.995726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4700.089856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3698.1733799999997,0.0,101.37948878016999,0.0,0.0,0.0,0.0,0.0
12,2630.686454,0.0,1074.9321405838223,0.0,0.0,0.0,0.0,0.0
