hour,pv,chp_hospital,chp_shopping,chp1_2cells,chp2_2cells,chp_4cells,heatpumps,gas_boiler,battery,IM
1,1004.539294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2916.065728700587
2,435.387788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3485.217234700587
3,1216.9875519999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2602.841214536204
4,1909.4115040000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1910.4172625362035
5,2969.029976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.7987905362039
6,4933.5206579999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5051.547468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5258.7500900000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5263.995726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4700.089856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3698.1733799999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.65538653620399
12,2630.686454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289.9185687005868
