hour,battery,curtailment,demand
1,0.0,0.0,2291.498656
2,0.0,0.0,2291.498656
3,0.0,0.0,2291.498656
4,0.0,0.0,2291.498656
5,0.0,0.0,2291.498656
6,0.0,0.0,2291.498656
7,0.0,0.0,2291.498656
8,0.0,0.0,2291.498656
9,0.0,0.0,2291.498656
10,1378.440039649801,0.0,2291.498656
11,4342.488118889687,0.0,2291.498656
12,0.0,6305.688794749871,2291.498656
13,0.0,6613.641841943625,2291.498656
14,981.9565543697515,4476.861360597294,2291.498656
15,2610.252228424819,0.0,2291.498656
16,0.0,0.0,2291.498656
17,0.0,0.0,2291.498656
18,0.0,0.0,2291.498656
19,0.0,0.0,2291.498656
20,0.0,0.0,2291.498656
21,0.0,0.0,2291.498656
22,0.0,0.0,2291.498656
23,0.0,0.0,2291.498656
24,0.0,0.0,2291.498656
25,0.0,0.0,2291.498656
26,0.0,0.0,2291.498656
27,0.0,0.0,2291.498656
28,0.0,0.0,2291.498656
29,0.0,0.0,2291.498656
30,0.0,0.0,2291.498656
31,0.0,0.0,2291.498656
32,0.0,0.0,2291.498656
33,0.0,0.0,2291.498656
34,0.0,1744.1342831923846,2291.498656
35,0.0,5170.111933222902,2291.498656
36,0.0,7017.830216385428,2291.498656
37,1275.784379567375,5799.787033166882,2291.498656
38,5458.817914967046,0.0,2291.498656
39,2552.5110320759895,0.0,2291.498656
40,0.0,0.0,2291.498656
41,0.0,0.0,2291.498656
42,0.0,0.0,2291.498656
43,0.0,0.0,2291.498656
44,0.0,0.0,2291.498656
45,0.0,0.0,2291.498656
46,0.0,0.0,2291.498656
47,0.0,0.0,2291.498656
48,0.0,0.0,2291.498656
49,0.0,0.0,2291.498656
50,0.0,0.0,2291.498656
51,0.0,0.0,2291.498656
52,0.0,0.0,2291.498656
53,0.0,0.0,2291.498656
54,0.0,0.0,2291.498656
55,0.0,0.0,2291.498656
56,0.0,0.0,2291.498656
57,0.0,0.0,2291.498656
58,0.0,1724.887217742775,2291.498656
59,0.0,4919.900082377977,2291.498656
60,1099.1964533834255,5398.962995862542,2291.498656
61,6344.18292564909,0.0,2291.498656
