hour,pv,chp_hospital,chp_shopping,chp1_2cells,chp2_2cells,chp_4cells,heatpumps,gas_boiler,battery
1,203.3233300151772,0.0,2732.422,-3.248195363474744e-13,0.0,0.0,0.0,0.0,0.0
2,88.12447201702197,0.0,2732.422,0.0,0.0,0.0,0.0,0.0,0.0
3,246.32382539697704,0.0,2560.2629321372697,0.0,0.0,0.0,0.0,0.0,0.0
4,386.47358812284335,0.0,2420.1131694114033,0.0,0.0,0.0,0.0,0.0,0.0
5,600.9451947184872,0.0,2205.6415628157597,0.0,0.0,0.0,0.0,0.0,0.0
6,998.567059421797,0.0,2206.6210039138946,0.0,0.0,0.0,0.0,0.0,65.82791885608879
7,1022.456223522797,0.0,2206.6210039138946,0.0,0.0,0.0,0.0,0.0,41.93875475508912
8,1064.394978277886,0.0,2206.6210039138946,0.0,0.0,0.0,0.0,0.0,0.0
9,1065.456718904597,0.0,1741.1300386296498,0.0,0.0,0.0,0.0,0.0,0.0
10,951.3196015331528,0.0,1855.267156001094,0.0,0.0,0.0,0.0,0.0,0.0
11,748.527141831331,0.0,2058.059615702916,0.0,0.0,0.0,0.0,0.0,0.0
12,532.4629242956207,0.0,2732.422,0.0,0.0,0.0,0.0,0.0,0.0
