chp_hospital,chp_shopping,chp1_2cells,chp2_2cells,chp_4cells,heatpumps
672.266,1912.6954,510.4169,466.6669,653.2512,1332.762960273973
672.266,1912.6954,510.4169,466.6669,653.2512,1332.762960273973
672.266,1243.7460315068492,510.4169,466.6669,653.2512,0.0
672.266,1243.7460315068492,510.4169,466.6669,653.2512,0.0
672.266,1243.7460315068492,510.4169,466.6669,653.2512,0.0
567.5509027397263,0.0,510.4169,466.6669,0.0,0.0
672.266,0.0,405.7018027397263,466.6669,0.0,0.0
672.266,0.0,405.7018027397263,466.6669,0.0,0.0
672.266,1243.7460315068492,510.4169,466.6669,653.2512,0.0
672.266,1243.7460315068492,510.4169,466.6669,653.2512,0.0
672.266,1243.7460315068492,510.4169,466.6669,653.2512,0.0
672.266,1912.6954,510.4169,466.6669,653.2512,1332.762960273973
