hour,pv,chp_hospital,chp_shopping,chp1_2cells,chp2_2cells,chp_4cells,heatpumps,gas_boiler,battery,IM
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335.445205479452
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335.445205479452
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2806.5867575342468
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2806.5867575342468
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2806.5867575342468
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3271.0159821917805
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3271.0159821917805
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3271.0159821917805
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2806.5867575342468
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2806.5867575342468
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2806.5867575342468
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335.445205479452
